,0
0,0.0856475998266103
1,0.08080662998481603
2,0.06787225319812029
3,0.04972659044952865
4,0.035306347119728354
5,0.024262992974040887
6,0.0
7,0.007783784097687874
8,0.04489563579114364
9,0.08406141836569125
10,0.14961953737123812
11,0.1967774854206602
12,0.25367418468394687
13,0.2977974157249017
14,0.3184637848008216
15,0.32651888578954547
16,0.3244951720454291
17,0.31541933286595103
18,0.3064436736888332
19,0.28449697178762856
20,0.2748581916204349
21,0.2797247313342418
22,0.289950627314314
23,0.2825979483512635
